TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2014-08-22,TQTF,FXRU ETF,FXRU,3,874836.0,3442.4,3430.0,3442.4,3430.7,3430.7,3430.0,255,3428.2,3430.2,3428.2,4165236.0,3756036.0,4165236.0,685724.06
2014-08-25,TQTF,FXRU ETF,FXRU,2,825120.0,3438.0,3438.0,3438.0,3438.0,3438.0,3438.0,240,3433.7,3434.1,3433.7,4171956.0,3760356.0,4171956.0,685724.06
2014-08-26,TQTF,FXRU ETF,FXRU,2,824400.0,3435.0,3435.0,3435.0,3435.0,3435.0,3435.0,240,3434.7,3434.1,3434.7,4173156.0,3760356.0,4173156.0,685724.06
2014-08-27,TQTF,FXRU ETF,FXRU,2,824400.0,3435.0,3435.0,3435.0,3435.0,3435.0,3435.0,240,3433.7,3434.1,3433.7,4171956.0,3760356.0,4171956.0,685724.06
2014-08-28,TQTF,FXRU ETF,FXRU,2,830400.0,3460.0,3460.0,3460.0,3460.0,3460.0,3460.0,240,3439.6,3439.6,3439.6,4179156.0,4127520.0,4179156.0,685724.06
2014-08-29,TQTF,FXRU ETF,FXRU,3,833869.5,3469.5,3460.0,3469.5,3460.0,3460.0,3460.0,241,3445.6,3446.5,3445.6,4138189.5,3725629.5,4138189.5,685724.06
2014-09-01,TQTF,FXRU ETF,FXRU,5,1445690.0,3492.5,3450.0,3492.5,3450.0,3458.6,3450.0,418,3459.4,3459.4,3459.4,3109959.5,3109959.5,3109959.5,809385.9
2014-09-02,TQTF,FXRU ETF,FXRU,4,1009992.0,3452.8,3452.8,3476.0,3460.0,3458.9,3460.0,292,3459.0,3458.9,3459.0,3289551.5,2870882.0,3289551.5,809385.9
2014-09-03,TQTF,FXRU ETF,FXRU,4,832514.0,3458.1,3440.0,3458.1,3440.0,3440.1,3440.0,242,3454.0,3450.3,3454.0,3288196.0,2670506.0,3288196.0,809385.9
2014-09-04,TQTF,FXRU ETF,FXRU,1,55424.0,3464.0,3464.0,3464.0,3464.0,3464.0,3464.0,16,3455.3,3450.6,3455.3,4177489.5,2311930.0,4177489.5,809385.9
2014-09-05,TQTF,FXRU ETF,FXRU,3,859107.6,3456.4,3450.0,3456.4,3450.0,3450.2,3450.0,249,3453.4,3450.4,3453.4,4202727.6,2577445.6,4202727.6,809385.9
2014-09-08,TQTF,FXRU ETF,FXRU,2,832800.0,3470.0,3470.0,3470.0,3470.0,3470.0,3470.0,240,3455.1,3453.6,3455.1,3589837.6,2579845.6,3589837.6,809385.9
2014-09-09,TQTF,FXRU ETF,FXRU,2,832800.0,3470.0,3470.0,3470.0,3470.0,3470.0,3470.0,240,3457.6,3457.6,3457.6,3412645.6,3405731.6,3412645.6,809385.9
2014-09-10,TQTF,FXRU ETF,FXRU,0,0.0,,,,3470.0,,,0,3458.5,3457.6,3458.5,7532597.1,3405731.6,7532597.1,809385.9
2014-09-11,TQTF,FXRU ETF,FXRU,3,1507869.0,3515.1,3500.0,3515.1,3500.0,3506.7,3500.0,430,3479.4,3479.4,3479.4,4032576.6,4032576.6,4032576.6,809385.9
2014-09-12,TQTF,FXRU ETF,FXRU,3,1198420.0,3512.2,3512.2,3530.0,3530.0,3524.8,3530.0,340,3497.5,3497.5,3497.5,4371889.0,4371889.0,4371889.0,809385.9
