TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2015-12-16,RPMO,ОФЗ 26214,SU26214RMFS5,7,1732492523.24,81.2204,81.2204,85.3244,85.3244,
2015-12-17,RPMO,ОФЗ 26214,SU26214RMFS5,4,1349450300.0,81.2009,81.2009,82.9528,82.9528,
2015-12-18,RPMO,ОФЗ 26214,SU26214RMFS5,7,2846504272.39,83.029,78.6442,83.029,78.6442,
2015-12-21,RPMO,ОФЗ 26214,SU26214RMFS5,5,2596991300.0,81.3017,81.3017,83.0572,83.0572,
2015-12-22,RPMO,ОФЗ 26214,SU26214RMFS5,3,1808913700.0,81.3449,81.3449,83.1018,83.1018,
2015-12-23,RPMO,ОФЗ 26214,SU26214RMFS5,3,1809042400.0,81.3505,81.3505,83.1079,83.1079,
2015-12-24,RPMO,ОФЗ 26214,SU26214RMFS5,2,1265738155.99,81.348,78.7114,81.348,78.7114,
2015-12-25,RPMO,ОФЗ 26214,SU26214RMFS5,2,1270887714.36,81.6791,79.0313,81.6791,79.0313,
2015-12-28,RPMO,ОФЗ 26214,SU26214RMFS5,1,903775400.0,82.1614,82.1614,82.1614,82.1614,
2015-12-29,RPMO,ОФЗ 26214,SU26214RMFS5,1,903755600.0,82.1596,82.1596,82.1596,82.1596,
2015-12-30,RPMO,ОФЗ 26214,SU26214RMFS5,2,1106680140.0,82.2693,82.2693,84.0491,84.0491,
2016-01-11,RPMO,ОФЗ 26214,SU26214RMFS5,1,907308600.0,82.4826,82.4826,82.4826,82.4826,
2016-01-12,RPMO,ОФЗ 26214,SU26214RMFS5,1,891254100.0,81.0231,81.0231,81.0231,81.0231,
2016-01-13,RPMO,ОФЗ 26214,SU26214RMFS5,7,3112264937.1,80.5762,77.9533,82.3249,81.4506,
2016-01-14,RPMO,ОФЗ 26214,SU26214RMFS5,2,1743046721.7,80.352,80.352,81.2241,81.2241,
2016-01-15,RPMO,ОФЗ 26214,SU26214RMFS5,2,1657273327.88,80.1319,80.1319,81.0019,81.0019,
2016-01-18,RPMO,ОФЗ 26214,SU26214RMFS5,3,1658852547.12,79.8065,79.8065,81.5405,81.5405,
2016-01-19,RPMO,ОФЗ 26214,SU26214RMFS5,7,2689230107.44,79.9891,79.9891,80.8583,80.8583,
2016-01-20,RPMO,ОФЗ 26214,SU26214RMFS5,3,2119924349.19,80.4725,80.4725,81.347,80.4725,
2016-01-21,RPMO,ОФЗ 26214,SU26214RMFS5,5,1374276801.5,79.7989,79.7989,81.5339,81.5339,
2016-01-22,RPMO,ОФЗ 26214,SU26214RMFS5,3,936431787.5,79.759,79.759,81.4935,81.4935,
2016-01-25,RPMO,ОФЗ 26214,SU26214RMFS5,1,881028500.0,80.0935,80.0935,80.0935,80.0935,
2016-01-26,RPMO,ОФЗ 26214,SU26214RMFS5,1,882271500.0,80.2065,80.2065,80.2065,80.2065,
2016-01-27,RPMO,ОФЗ 26214,SU26214RMFS5,3,525033050.0,80.2369,80.2369,81.9835,81.1102,
2016-01-28,RPMO,ОФЗ 26214,SU26214RMFS5,3,528116660.7,80.9743,80.9743,82.7371,81.8557,
2016-01-29,RPMO,ОФЗ 26214,SU26214RMFS5,3,531609887.58,81.5098,81.5098,83.2846,82.3972,
2016-02-01,RPMO,ОФЗ 26214,SU26214RMFS5,2,285444850.0,81.3026,81.3026,83.0741,83.0741,
2016-02-02,RPMO,ОФЗ 26214,SU26214RMFS5,2,284966150.0,81.1662,81.1662,82.9351,82.9351,
2016-02-03,RPMO,ОФЗ 26214,SU26214RMFS5,2,122480450.0,82.8317,81.0646,82.8317,81.0646,
2016-02-04,RPMO,ОФЗ 26214,SU26214RMFS5,3,173831140.0,82.8295,81.0621,82.8295,81.0621,
2016-02-05,RPMO,ОФЗ 26214,SU26214RMFS5,2,93287488.0,83.2924,83.2924,83.2924,83.2924,
2016-02-08,RPMO,ОФЗ 26214,SU26214RMFS5,1,41383800.0,82.7676,82.7676,82.7676,82.7676,
2016-02-09,RPMO,ОФЗ 26214,SU26214RMFS5,1,41532700.0,83.0654,83.0654,83.0654,83.0654,
2016-02-10,RPMO,ОФЗ 26214,SU26214RMFS5,1,408537000.0,81.7074,81.7074,81.7074,81.7074,
2016-02-12,RPMO,ОФЗ 26214,SU26214RMFS5,1,317599351.65,81.795,81.795,81.795,81.795,
2016-02-15,RPMO,ОФЗ 26214,SU26214RMFS5,1,327725469.12,81.7026,81.7026,81.7026,81.7026,
2016-02-20,RPMO,ОФЗ 26214,SU26214RMFS5,1,137892440.0,81.1132,81.1132,81.1132,81.1132,
2016-02-24,RPMO,ОФЗ 26214,SU26214RMFS5,2,1136602460.0,81.8766,81.8766,82.7728,82.7728,
2016-02-25,RPMO,ОФЗ 26214,SU26214RMFS5,1,139820240.0,82.2472,82.2472,82.2472,82.2472,
2016-02-26,RPMO,ОФЗ 26214,SU26214RMFS5,1,140599180.0,82.7054,82.7054,82.7054,82.7054,
